_1,_2
#EMABiggestFansJustinBieber,78894
#EMABiggestFans1D,77735
#camilasayshi,9876
#DebateNoSBT,2996
#TheVoiceBrasil,2576
#AssistamODR,2513
#Vote5HEMA,2132
#DebateNaRecord,2130
#QueroDilmaTreze,1837
#debatenarecord,1675
#LinkinParkNoMultishow,1532
#trndnl,1500
#EМABiggestFansJustinBieber,1249
#askjadelittlemix,1220
#AFazenda,1154
#AustinMahoneChile,1097
#LançamentoDoClipeVocêSeFoiFLY,1048
#CartersNewVideo,931
#camilasayhi,900
#CongratsOn1MChris,892
#AUSTINMAHONE,872
#AustinMahone,859
#KCAArgentina,836
#AecioEmTodoBrasil,799
#WelcomeToBrazil30STM,784
#MasterChefBR,739
#HottieOfTheWeek,709
#ChatApimentadoDoBiel,707
#AUSTINMAHONECHILE,680
#love,669
#QueroNoTVZ,668
#EmTodoBrasilAecio45,659
#premiomultishow,594
#Beliebers,589
#McDuduzinhoNaFMODIA,582
#AMAs,565
#EMABiggestFans5SOS,555
#MPN,549
#ComeToBrazilMattEspinosa,549
#Aecio45,544
#StealMyGirl,529
#demiyourstorydoesntdefineyou,524
#EМABiggestFans1D,480
#boanoite,474
#MTVhomecoming,467
#DebateDoSBT,466
#VouComDilma13,459
#austinmahonechile,449
#MTVHomecoming,440
#Dilma13,424
#BuyLoveMeHarderOniTunes,417
#EuAcredito,416
#Los80,412
#AecioPelaMudanca,409
#CiteMusicasQueSempreEscuta,407
#BoaNoite,405
#friends,396
#PediuTocouRD,389
#MixFmBrasil,388
#CosasQueQuieroYaPeroYa,386
#EMABiggesFans1D,378
#LancamentoDoClipeVoceSeFoi,377
#EMABiggestFansArianaGrande,368
#JulianSerrano,367
#TopPop,366
#SungminSTAY,351
#EMABiggestFansHarryPotter,346
#ESPNtemNFL,346
#SudamericanaxFOX,346
#NoEntiendo,333
#twdstrangers,332
#Rebelde2x083,330
#ForaDilma,328
#LancamentoDoClipeVoceSeFoiFLY,320
#CaciquesDIRECTV,319
#selfie,319
#JaidefinichonLIVE,307
#askdirectioner,301
#ThatGirlShouldBeMeVEVO,296
#InstaSize,295
#PanicAtTheDiscoNoMultishow,292
#DemiWorldTourInSouthAmerica,292
#QueroMuitosSeguidoresComValentino,292
#ask5sosfam,288
#TROPA,283
#AmorESexo,278
#EvilRegals,277
#VemGabyAltoAstral,275
#MTVHits,274
#happy,270
#SignsOnItunes,269
#AgoraÉAécioBrasil45,268
#JohnnyDeppcometoBrazil,264
#VzlaONUVictoriaBolivariana,263
#ForaPT,259
#VaiCorinthians,258
#ClipeRockStarComClaraAguilar,257
#AcreditamosEmVoceLL,255
#MaratonaTwilight,254
#UnlockMockingjay,250
#me,248
#McDuduzinhonaFMODIA,246
#TwOff,243
#RT,240
#AgoraÉAecioBrasil,239
#debatenosbt,238
#askmahomie,238
#YouGotItAllVideoPremiere,237
#15AnosDVDdaFresno,237
#amigos,236
#1,235
#TheVoice,228
#MelhorcomDilma13,228
#photo,225
#partiu,225
#Dilma,222
#AgoraÉAécioBrasil,222
#PaulaFernandesnoRatinho,222
#Top3Apps,221
#YSEA,220
#Imperio,216
#ElasFicamLoucas,216
#MenosOdioMaisDilma,215
#HappyBirthdayJohnMayerFromBrazil,213
#SoberaniaSatelital,213
#GOLDENfollowme,212
#np,211
#AguacateTraeDeNuevoAMaluma,210
#vscocam,210
#TeamClaudiaLeitte,210
#EMABiggestFansJusinBieber,209
#PanicoAjudaAsBeliebers,209
#afazenda,207
#Aécio45,206
#BrazilNeedsSS6,202
#FechadoComOCruzeiro,199
#EMABiggestFansJustinBieberᅠ,197
#askharmonizer,195
#Endomondo,193
#amo,193
#Repost,193
#endorphins,193
#EstrenoLaDictaduraPerfecta,190
#debatesbt,188
#FinalLaGata,188
#MudaBrasil,188
#fitness,186
#A7XNoRockInRio2015,184
#CamilaSaysHi,184
#gym,184
#emabiggestfansjustinbieber,183
#OverloadGenBaby,182
#AgoraBrasilAécio45,180
#SudamericanRockers,179
#SaideiraATL,179
#sunset,179
#PitucaSinLucas,177
#debatedosbt,177
#DebatenaRecord,177
#HarryRefollowLuana,176
#tbt,176
#amor,174
#TrumpetsTheyMeme,173
#MaratonaVaiQueCola,173
#DVDFresno15Anos,173
#VaiQueColaEp33,173
#GloZellTo700k,173
#EMABiggestFansNickiMinaj,172
#NuncaFaltaElHueonQue,170
#Selfie,170
#DebateDaRecord,168
#Rebelde2x084,168
#HarryFollowTamestyles,167
#PoucosDiasParaMeninaLA,167
#CoisasQueEuSonho,165
#OnceUponATime,164
#EstamosInvitados,163
#SextaTodosSDVcomValentino,163
#ActitudCreamfields,160
#AecioNever,160
#Love,159
#calor,158
#IsraelNovaesNoLegendarios,158
#QueremosLaCopaCABJ,157
#River,157
#Império,157
#beach,157
#Boca,156
#DontChangeTMIcast,156
#VaiQueColaEp34,155
#TopChefTVN,154
#ConceptLateNightFollowSpree,154
#night,151
#AgoraEAecioBrasil,151
#FazendinhaMaldita,151
#MeGustaMasQueLaCresta,151
#JorgeBlanco,150
#QueroDilma13,149
#Dilma13PraVencer,148
#DoQueOBrasilPrecisa,148
#DVD15AnosFresno,148
#Santiago,146
#VemSdvComTiuMarkito,145
#AlwaysInOurHeartCL,145
#SIGUEMEYTESIGO,143
#Eleicoes2014,143
#paniconaband,142
#Friends,142
#FavEsdvDioDusGnomos,142
#LanaDelReyBogotaEnElSOFA,141
#Galo,141
#Brasil,141
#thevoice,141
#thevoicebrasil,141
#CallMeSeb,138
#nofilter,137
#WeWantZaynsSongsInFOUR,136
#MiMamaEs,134
#EMMABiggestFans1D,134
#SãoPaulo,133
#CarlosMeMandaDM,133
#top,132
#JustinBieberInFortaleza,132
#AhoraNoMeVendriaMal,132
#party,132
#Rio,131
#VaiQueCola,130
#FresnoMeuOrgulho,129
#PuebloPoderEnRevolucion,128
#MiCancionPerfectaEs,128
#askmagcult,127
#EMABiggesFansJustinBieber,127
#beer,127
#sp,126
#sqn,125
#DulceMVPT,123
#VamosBoca,122
#dancadosfamosos,121
#NP,120
#bodybuilding,120
#familia,119
#31minutos,119
#hardcoreladies,119
#BURLEY3,119
#muscle,119
#Venezuela,118
#Echelon,118
#TotalDivas,116
#askjacob,116
#QueremosPolloTv,116
#AskWesAndKeats,115
#AvanteMeuTricolor,115
#MiNombreEs,115
#Chile,114
#labellamafia,114
#OnceIsFrozen,114
#EsMuyDeMaricon,114
#deontem,114
#Rebelde2x085,114
#EmaBiggestFansJustinBieber,113
#MeReJodeQue,113
#Partiu,113
#OurPrinceChrisLeao,113
#RAW,112
#wellness,112
#GOSTEI,111
#WatchGoingToHell,110
#brazil,110
#CreamfieldsCL,110
#Nahara4UGirlBrazil,110
#SimplementeTini,109
#QuartaDoSdvComTiuMarkito,109
#PazConJusticia,108
#sun,108
#Annabelle,108
#TeamDulce,108
#VejaSoltaNaNoiteNoYoutube,108
#LuceroYSEA,108
#3YearsOfMistletoe,107
#instagood,107
#LRT,106
#FicaMarlos,106
#QueremosPolloEmRecife,106
#OVERDOSEparty,105
#dilmavaiperderaecio45vencer,105
#RiverPlate,104
#family,104
#ThatGirlShouldBeMeVevo,104
#praia,103
#VamosRiver,103
#Flamengo,103
#SPFC,102
#Amigos,102
#45,102
