_1,_2
#EMABiggestFans1D,64079
#EMABiggestFansJustinBieber,56025
#StealMyGirl,6123
#bigpaynodanceoff,4012
#LuanSantanaNaHoraDoFaro,2915
#CartersNewVideo,2165
#QueroNoTVZ,1472
#BuyLoveMeHarderOniTunes,1420
#FlyNoMixDiario,1400
#demiyourstorydoesntdefineyou,1244
#AustinMahoneChile,1065
#AustinMahone,1046
#UnlockMockingjay,947
#Vote5HEMA,945
#HottieOfTheWeek,939
#trndnl,913
#KCAArgentina,904
#EMABiggestFansArianaGrande,784
#MTVhomecoming,713
#AMAs,704
#QueroMuitosSeguidoresComValentino,669
#flyNoMixdiario,665
#EMABiggestFansJustinBieberᅠ,658
#EMABiggestFans5SOS,641
#DomingoPreguiçosoDoSDVcomValentino,636
#VoteforRita,627
#FOLLOWMELOHANTHONY,624
#NewE3Cover,613
#PreOrder1DFOURDeluxe,580
#E3GetsJealous,547
#VevoLIFT,542
#SextaTodosSDVcomValentino,531
#WeWantZaynsSongsInFOUR,521
#love,509
#MaratonaTwilight,503
#VamosColoColo,501
#MTVHomecoming,500
#VamosLaU,494
#STEALMYGIRL,489
#VoteVampsVevo,483
#DVDFresno15Anos,442
#EМABiggestFansJustinBieber,411
#StealMyGirI,399
#JulianSerrano,395
#SomethingBigIsHappening,377
#OverloadGenBaby,374
#MCGuimeNoRaulGil,373
#PediuTocouRD,369
#calor,341
#Malhação,335
#ComeToBrazilMattEspinosa,332
#AcreditamosEmVoceLL,321
#boatarde,312
#BRA,311
#VoteForRita,309
#ColoColo,302
#LiamSingsWhenHePees,296
#TopPop,290
#VaiMedina,288
#dilmavaiperderaecio45vencer,286
#selfie,286
#austinmahonechile,284
#friends,281
#stealmygirl,280
#EMABiggestFansNickiMinaj,274
#CosasQueQuieroYaPeroYa,272
#askdirectioner,270
#HappyBirthdayEminemFromBrazil,267
#beach,264
#TeamDuca,263
#InstaSize,262
#BoaTarde,262
#VasAQuererVolver,260
#Toptr3ce,257
#VoteTilNineTheVampsAreFine,256
#MPN,244
#sun,243
#EМABiggestFans1D,243
#MomentosDoFandomLL,240
#deontem,240
#DomingoPreguicosoDoSDVcomValentino,230
#MixFmBrasil,229
#Mockingjay,226
#McBielNoSabadoTotal,224
#12anosderoubalheiradoptchega,223
#EMABiggestFansHarryPotter,222
#AvengedSevenfoldNoRockInRio2015,214
#me,213
#McGuimeNoRaulGil,212
#happy,210
#RaelNoMixDiario,204
#RT,197
#vscocam,195
#A7XNoRockInRio2015,195
#SigaTiuMarkitoNesseSabadoSdv,195
#SIGUEMEYTESIGO,194
#MelhorcomDilma13,194
#tbt,192
#np,191
#FechadoComOCruzeiro,189
#MeSintoTãoBemNoTVZ,187
#ChayanneEnTodoEstare,184
#pmi,183
#QueremosPolloTv,180
#praia,179
#1DFourNoMixDiario,179
#askmagcult,178
#Dilma13,175
#AguacateTraeDeNuevoAMaluma,175
#ActitudCreamfields,173
#MiMamaEs,172
#Repost,172
#AUSTINMAHONE,171
#partiu,167
#JugadorCDF,166
#CaciquesDIRECTV,165
#sol,164
#EMABieggestFans1D,162
#gerenciamentodeprojetos2014,161
#FelizDiaMama,161
#FrasesProfessores,161
#CreamfieldsCL,161
#universidia,160
#QuandoEuCasar,159
#SimplementeTini,158
#G1,158
#PreorderRenegade,154
#FlyNoMixDiário,153
#Venezuela,153
#DucaNossoVencedor,153
#AecioPelaMudanca,153
#McGuimeNoProgramaRaulGil,149
#VemSdvComTiuMarkito,149
#amo,148
#PremiosNotirey,147
#5HFridayVote5HEMA,145
#DVDFresno15anos,145
#Santiago,145
#GetWellSoonAshton,145
#SumaCienMilPuntos,144
#EmblemFallTour,143
#premiomultishow,142
#jogoaberto,141
#nofilter,141
#Brasil,140
#amor,139
#VampsVEVOVote,138
#VzlaONUVictoriaBolivariana,137
#brasil,136
#CiteMusicasQueSempreEscuta,136
#Selfie,136
#domingo,136
#FlyNoMixdiario,135
#amigos,133
#EmaBiggestFans1D,132
#Chile,131
#Rio,131
#SãoPaulo,130
#AUSTINMAHONECHILE,130
#EMABiggestFansjustinBieber,130
#MeGustaMasQueLaCresta,129
#MiercolesDeGanarSeguidores,128
#LastDayToVoteVamps,125
#VaiCorinthians,125
#LoveMeHarderLyricVideo,125
#EMABiggesFans1D,123
#arritmiabatebola,123
#photo,122
#ClipeSemMedoDeAmar,121
#Beliebers,120
#Lucianoajudaomatias,120
#1DFOURTracklist,120
#Calor,119
#instagood,117
#ask5sosfam,116
#FlynoMixDiario,116
#Superclasico,115
