_1,_2
#EMABiggestFansJustinBieber,4139
#EMABiggestFans1D,2758
#PreOrderVampsUSA,378
#KCAArgentina,336
#BuyNobodyOniTunes,280
#LaliEsposito,209
#TwOff,194
#trndnl,132
#OrianaSabatini,114
#tonns,110
#EMABiggestFansJustinBieberᅠ,106
#ValioLaPena,87
#EМABiggestFansJustinBieber,87
#FavEsdvDioDusGnomos,84
#PastillasEnEstereo,83
#askmahomie,81
#MadrugadaDoSdvComTiuMarkito,80
#QueroDilmaTreze,79
#JaPensei,76
#EMABiggestFansJustinBeber,73
#EmTodoBrasilAecio45,68
#CamisetaTeoCARPoficial,63
#MTVHomecoming,55
#PreOrderVampsUsa,46
#AMAs,41
#ReMentisteCuando,40
#EMABigesstFans1D,38
#MTVhomecoming,37
#EsMuyDeMaricon,37
#EMABiggestFansHarryPotter,35
#ElCampeonSera,34
#askmagcult,34
#EMABestPopMileyCyrus,34
#YSEA,31
#love,29
#BuenasNoches,29
#QueroNoTVZ,28
#ask5sosfam,26
#MiCancionPerfectaEs,26
#selfie,25
#AskID,24
#HappyHoliRecife,24
#np,23
#SamsungNightRunCCS,23
#Fato,22
#twoff,21
#Top3Apps,21
#DiaMundialCancerMama,21
#nikita,20
#Dormir,20
#askharmonizer,19
#Segue,19
#JáPensei,19
#boanoite,19
#friends,19
#SimplesAssim,19
#diguinhooutubrorosa,19
#Compartilhe,19
#Viva,19
#Curte,19
#Ria,19
#VemComigo,19
#demiyourstorydoesntdefineyou,19
#EmaBiggestFansJustinBieber,18
#NuncaFaltaElHueonQue,18
#AecioEmTodoBrasil,18
#askdirectioner,18
#EMABiggestFansXuxa,18
#SãoPaulo,17
#Los80,17
#ComeToBrazilMattEspinosa,17
#LoveMeHarderLyricVideo,17
#TocateParaQueNoTeToque,17
#JustinBieberInFortaleza,16
#BoaNoite,16
#Yoveolatelepolemica,16
#ValióLaPena,15
#NoAltoMaipo,15
#NocheDeConfesiones,15
#Selfie,15
#SMG,15
#Magallanes,14
#Off,14
#CircuitoBB,14
#HolaAnnabelle,13
#happyholirecife,13
#OctubreDeTerror,13
#NeymarNaoDesisteDeNosTeAmamos,13
#EMABieggestFans1D,13
#Rosario,12
#HappyHoli,12
#Venezuela,12
#bodybuilding,12
#Zoe,12
#happy,12
#Tolerancia0,11
#EMABiggesFansJustinBieber,11
#Rio,11
#CiteMusicasQueSempreEscuta,11
#dormir,11
#Lute,11
#muscle,11
#samsungnightrun5k,11
#gym,11
#confissoesdamadrugada,11
#Tonns,10
#fitness,10
#RAW,10
#vscocam,10
#hardcoreladies,10
#TotalDivas,10
#amigos,10
#partiu,10
#labellamafia,10
#Aecio45,10
#wellness,10
#Gigant3s,10
#feliz,10
#Nikita,10
#domingo,10
#Cardenales,10
#Caracas,10
#paniconaband,9
#linkinpark,9
#BeloHorizonte,9
#goodnight,9
#EMABiggestFansMileycyrus,9
