value,count
.,366
enjoy !,13
beautiful .,10
highly recommended .,9
: -rrb-,9
a must see !,8
amazing !,8
beautiful !,7
the views are amazing .,7
great view .,7
breathtaking .,7
wow !,7
it was amazing .,6
well worth it .,6
loved it !,6
do n't miss it !,6
beautiful at night .,5
it 's the eiffel tower !,5
enjoy,5
breathtaking !,5
the view is spectacular .,5
great experience .,5
magical .,5
a must see in paris .,5
amazing views .,5
a must see .,5
must see .,5
views are amazing .,5
it 's the eiffel tower .,4
wow .,4
fantastic !,4
fantastic views .,4
ok .,4
must see in paris .,4
well worth the visit .,4
worth a visit .,4
loved it .,4
what an experience !,4
absolutely beautiful !,4
not to be missed .,4
enjoy .,4
fantastic .,4
great views !,4
great views .,4
very romantic .,4
amazing .,4
well worth a visit .,4
lots of people .,3
awesome view .,3
a must visit .,3
a must do in paris .,3
highly recommend .,3
love it !,3
you must go to the top .,3
worth every penny .,3
magical !,3
the view is incredible .,3
!,3
the eiffel tower is amazing .,3
must do when in paris .,3
must visit place .,3
fantastic experience .,3
it is magnificent .,3
amazing views of paris .,3
highly recommended,3
great views from the top .,3
the views are breathtaking .,3
not to be missed !,3
do it !,3
what can i say ?,3
amazing view of paris .,3
amazing !!,3
just go .,3
why ?,3
i love paris !,3
awesome !,3
great view of paris .,3
very crowded .,3
great experience !,3
you wo n't be disappointed .,3
; -rrb-,3
i love paris .,3
a must do when visiting paris .,3
: - -rrb-,3
it is an amazing structure .,3
the view is amazing .,3
amazing experience .,3
wow !!!,3
the view from the top is spectacular .,3
long lines .,3
the views are stunning .,3
the views are spectacular !,3
!!,3
very interesting .,3
the views were amazing .,3
beautiful !!,3
i highly recommend it .,3
a must see when in paris .,3
absolutely stunning .,3
yes .,3
i loved it .,3
it 's beautiful .,3
great place .,3
great place to visit .,3
do n't miss it .,3
the views from the top are amazing .,3
what a view .,3
the views are spectacular .,3
here are some tips :,2
it was spectacular .,2
have fun !,2
it is magnificent !,2
the lines can be long .,2
highly recommended !,2
iconic .,2
plan accordingly .,2
perfect !,2
the tower is amazing .,2
it 's worth it .,2
you get a new view every turn .,2
in every way .,2
fabulous .,2
when in paris ... .,2
beautiful views .,2
do not miss it !,2
take the elevator .,2
it was great !,2
absolutely amazing .,2
"touristy , yes .",2
we felt very safe .,2
great view of the city .,2
get there early !,2
very romantic !,2
a must do when in paris .,2
a trip to the eiffel tower is a must .,2
had a great time .,2
awesome .,2
a magical experience .,2
dont miss it .,2
so worth climbing up rather than taking the elevator !,2
this is a must see .,2
you could see forever .,2
the tower is beautiful .,2
i love the eiffel tower .,2
this is a must .,2
you wo n't regret it .,2
it 's huge !,2
you have to go to the top .,2
priceless .,2
need i say more ?,2
well what can i say that has n't already been said .,2
lovely place .,2
no .,2
it was a wonderful experience .,2
... .,2
but it was worth it .,2
go to the top !,2
worth it !,2
a magnificent structure .,2
was wonderful .,2
a must do in paris !,2
wonderful experience .,2
you will not be disappointed .,2
definitely worth a visit .,2
seriously !,2
it is amazing .,2
it 's worth the wait .,2
what a fantastic experience .,2
it did not disappoint .,2
who knew ?,2
no way .,2
priceless !,2
absolutely beautiful .,2
this is a must !,2
just do it !,2
spectacular !,2
awesome site .,2
you can not go to paris without visiting the eiffel tower .,2
it was lit up .,2
beautiful sight .,2
worth a visit !,2
it really is huge !,2
the view from the top was amazing .,2
absolutely breathtaking .,2
what 's there to say ?,2
a must .,2
we were able to go to the top .,2
outstanding !,2
romantic .,2
well worth the wait .,2
i know .,2
a must do .,2
a must do !,2
just amazing .,2
would highly recommend .,2
it was a great experience .,2
beware !,2
what a view !,2
great views of the city .,2
beware of pickpockets though .,2
you have to see it .,2
great to visit .,2
must visit .,2
what can you say about the eiffel tower ?,2
what a marvel .,2
totally worth it !,2
the eiffel tower is a must see when in paris !,2
you ca n't go to paris and not see the eiffel tower .,2
we loved it .,2
you must visit the eiffel tower in paris .,2
that 's it .,2
stunning !,2
an experience not to be missed .,2
love it .,2
the views of the city are spectacular .,2
worth it .,2
it was beautiful .,2
it is huge .,2
would definitely go again .,2
just beautiful .,2
very sad .,2
beautiful !!!,2
great visit .,2
awesome experience !,2
beautiful view of the city .,2
it was fun .,2
beautiful view of paris !,2
the view was spectacular .,2
the view is fantastic .,2
this was my second visit to the eiffel tower .,2
it was beautiful !,2
disappointed .,2
never disappoints .,2
we loved our visit here .,2
oh my god !,2
lots of eateries around .,2
be prepared to wait in line .,2
beautiful view .,2
go .,2
well worth the money .,2
