_1,_2
Dilma,17652
,4659
Aécio,4442
não,4114
#QueroDilmaTreze,1916
"Dilma,",1573
vai,1535
cara,1310
só,1180
ela,1179
O,1144
debate,1132
foi,1091
ta,1090
os,1074
Dilma.,1069
#DebateNoSBT,1039
está,1018
fala,894
as,883
ao,817
tá,807
mal,804
Brasil,801
Não,756
falar,746
ou,746
essa,745
como,741
#Dilma13,720
Aecio,710
já,698
E,697
ele,670
#DebateNaRecord,663
ser,651
me,651
quem,622
governo,619
muito,599
-,590
isso,585
dos,577
PT,568
votar,567
Eu,567
nem,556
#MelhorcomDilma13,539
esse,532
#VouComDilma13,530
É,524
falando,523
diz,510
agora,493
sabe,492
Se,483
#debatenarecord,479
#ForaDilma,475
meu,459
pq,457
seu,452
Minas,430
ter,412
voto,409
pelo,407
"Aécio,",407
",",403
bem,398
sua,392
ver,389
quer,389
minha,387
13,385
melhor,383
você,374
quando,371
fez,367
fazer,364
Dilma?,355
pro,354
vc,353
Dilma!,351
!,351
pode,347
porque,346
faz,345
passando,335
@dilmabr,334
pela,326
nada,325
ainda,324
vota,321
@AecioNeves,321
das,318
Lula,317
Que,317
mesmo,316
n,315
Só,311
povo,311
Essa,311
nao,302
#Dilma,301
são,299
gente,298
pressão,298
#MenosOdioMaisDilma,289
@,288
vou,286
?,283
Aécio.,278
aqui,276
RT,275
tudo,274
campanha,264
Dilma:,259
à,259
Mas,258
passou,258
coisa,258
pergunta,257
hoje,255
dela,249
sou,248
#ForaPT,247
propaganda,246
.,244
anos,243
deu,240
esta,237
era,237
todos,235
tanto,235
disse,233
tão,233
presidente,232
fica,229
sempre,227
Rousseff,221
p,219
dizer,219
#Dilma13PraVencer,218
sei,218
todo,215
dia,215
#AecioEmTodoBrasil,214
nunca,213
ponto,211
#Aecio45,210
Por,208
Neves,207
estão,206
mulher,206
quero,205
4,204
vivo,204
país,204
fosse,203
SBT,202
to,201
responde,200
PSDB,199
No,197
nesse,197
dar,197
passa,196
acho,195
menos,194
Quem,194
Agora,194
vamos,194
ganhar,193
Ela,190
Chico,188
vez,187
#AecioPelaMudanca,187
depois,186
debate.,185
boca,182
Vai,181
"\"Dilma",180
candidato,179
d,179
apoio,178
bom,177
Debate,176
#DebateDoSBT,175
kkkk,175
ai,174
#MelhorComDilma13,173
dando,173
inflação,173
...,172
assim,172
😂,171
Vamos,170
te,169
bolsa,168
tempo,168
sendo,165
Petrobras,164
falou,164
vão,164
Acho,164
ficar,163
#EmTodoBrasilAecio45,163
fazendo,162
Mais,160
tenho,160
lá,158
parece,157
dinheiro,156
dá,155
aí,155
desse,155
Como,154
será,153
vem,153
cada,153
passar,151
#QueroDilma13,151
45,150
teve,150
segundo,147
hora,145
pessoas,144
dessa,144
acha,144
kkkkk,143
Gente,143
Esse,143
também,142
aecio,142
pior,141
x,141
merda,140
novo,139
kkk,139
Buarque,138
cu,138
entrevista,138
deve,138
saber,137
ñ,137
queda,136
Olha,135
1,135
"debate,",135
vcs,135
né,133
Já,132
