createdAt,count
2017/05/20,11
2017/05/19,6
2017/05/17,16
2017/05/16,4
2017/05/15,7
2017/05/14,4
2017/05/13,2
2017/05/12,17
2017/05/11,10
2017/05/09,9
2017/05/08,16
2017/05/07,6
2017/05/06,10
2017/05/05,10
2017/05/04,9
2017/05/03,8
2017/05/02,7
2017/05/01,6
2017/04/29,7
2017/04/28,9
2017/04/27,16
2017/04/26,17
2017/04/25,6
2017/04/24,6
2017/04/23,10
2017/04/22,11
2017/04/21,6
2017/04/20,11
2017/04/19,24
2017/04/18,8
2017/04/17,5
2017/04/16,11
2017/04/15,9
2017/04/14,6
2017/04/13,7
2017/04/12,19
2017/04/11,23
2017/04/10,35
2017/04/09,14
2017/04/08,14
2017/04/07,9
2017/04/06,7
2017/04/05,8
2017/04/04,11
2017/04/03,1
2017/04/02,5
2017/04/01,11
2017/03/31,4
2017/03/30,14
2017/03/29,14
2017/03/28,13
2017/03/27,13
2017/03/24,5
2017/03/23,8
2017/03/22,5
2017/03/21,9
2017/03/20,7
2017/03/19,3
2017/03/18,3
2017/03/17,8
2017/03/16,8
2017/03/15,4
2017/03/14,10
2017/03/13,8
2017/03/12,5
2017/03/11,5
2017/03/10,4
2017/03/09,9
2017/03/08,6
2017/03/07,3
2017/03/06,6
2017/03/05,4
2017/03/04,2
2017/03/03,9
2017/03/02,11
2017/03/01,12
2017/02/28,5
2017/02/26,3
2017/02/25,9
2017/02/23,2
2017/02/22,8
2017/02/21,14
2017/02/20,2
2017/02/19,2
2017/02/18,3
2017/02/17,10
2017/02/16,9
2017/02/15,12
2017/02/14,9
2017/02/13,8
2017/02/11,11
2017/02/10,6
2017/02/09,7
2017/02/08,8
2017/02/07,7
2017/02/06,6
2017/02/05,10
2017/02/03,8
2017/02/02,3
2017/02/01,2
2017/01/30,14
2017/01/29,4
2017/01/28,12
2017/01/26,6
2017/01/24,12
2017/01/23,11
2017/01/22,13
2017/01/21,5
2017/01/20,4
2017/01/19,6
2017/01/18,8
2017/01/17,5
2017/01/16,6
2017/01/14,4
2017/01/13,10
2017/01/12,4
2017/01/11,9
2017/01/10,11
2017/01/09,5
2017/01/07,15
2017/01/06,10
2017/01/05,15
2017/01/04,21
2017/01/03,9
2017/01/02,3
2017/01/01,4
2016/12/31,10
2016/12/30,5
2016/12/29,7
2016/12/28,11
2016/12/27,9
2016/12/26,3
2016/12/25,4
2016/12/24,5
2016/12/23,5
2016/12/22,5
2016/12/21,5
2016/12/19,1
2016/12/16,2
2016/12/15,3
2016/12/14,3
2016/12/13,8
2016/12/12,4
2016/12/11,6
2016/12/10,12
2016/12/09,11
2016/12/08,2
2016/12/07,2
2016/12/05,7
2016/12/04,6
2016/12/03,2
2016/12/01,5
2016/11/29,12
2016/11/28,6
2016/11/27,10
2016/11/26,5
2016/11/25,6
2016/11/24,6
2016/11/23,10
2016/11/22,6
2016/11/21,2
2016/11/20,5
2016/11/19,9
2016/11/18,6
2016/11/15,8
2016/11/14,12
2016/11/13,9
2016/11/12,16
2016/11/11,9
2016/11/10,5
2016/11/09,5
2016/11/08,1
2016/11/07,21
2016/11/06,12
2016/11/05,21
2016/11/03,3
2016/11/02,7
2016/11/01,31
2016/10/31,5
2016/10/30,20
2016/10/29,18
2016/10/28,17
2016/10/27,12
2016/10/26,8
2016/10/25,24
2016/10/24,9
2016/10/23,19
2016/10/22,8
2016/10/21,17
2016/10/20,14
2016/10/19,11
2016/10/18,29
2016/10/17,32
2016/10/16,21
2016/10/15,9
2016/10/14,12
2016/10/13,10
2016/10/12,15
2016/10/11,19
2016/10/10,11
2016/10/09,17
2016/10/08,16
2016/10/07,13
2016/10/06,4
2016/10/04,2
2016/10/03,14
2016/10/02,17
2016/10/01,5
2016/09/30,11
2016/09/29,14
2016/09/28,8
2016/09/27,22
2016/09/26,16
2016/09/25,12
2016/09/24,14
2016/09/23,16
2016/09/22,4
2016/09/21,8
2016/09/20,16
2016/09/19,1
2016/09/18,11
2016/09/17,15
2016/09/16,13
2016/09/15,8
2016/09/14,15
2016/09/13,23
2016/09/12,20
2016/09/11,10
2016/09/10,12
2016/09/09,15
2016/09/08,35
2016/09/07,17
2016/09/06,13
2016/09/05,14
2016/09/04,13
2016/09/03,6
2016/09/02,5
2016/09/01,7
2016/08/31,5
2016/08/30,14
2016/08/29,21
2016/08/28,9
2016/08/27,20
2016/08/26,23
2016/08/25,24
2016/08/24,23
2016/08/23,26
2016/08/22,18
2016/08/21,10
2016/08/20,11
2016/08/19,2
2016/08/18,16
2016/08/17,1
2016/08/16,12
2016/08/15,7
2016/08/14,15
2016/08/13,19
2016/08/12,8
2016/08/11,20
2016/08/10,33
2016/08/09,12
2016/08/08,12
2016/08/07,27
2016/08/06,16
2016/08/05,15
2016/08/04,18
2016/08/03,22
2016/08/02,15
2016/08/01,13
2016/07/31,9
2016/07/30,25
2016/07/29,7
2016/07/28,21
2016/07/27,23
2016/07/26,26
2016/07/25,48
2016/07/24,9
2016/07/23,9
2016/07/22,13
2016/07/21,12
2016/07/20,7
2016/07/19,9
2016/07/18,11
2016/07/17,5
2016/07/16,8
2016/07/15,18
2016/07/14,12
2016/07/13,21
2016/07/12,11
2016/07/11,6
2016/07/10,9
2016/07/09,19
2016/07/08,18
2016/07/07,8
2016/07/06,17
2016/07/05,16
2016/07/04,25
2016/07/03,19
2016/07/02,12
2016/07/01,14
2016/06/30,27
2016/06/29,15
2016/06/28,12
2016/06/27,20
2016/06/26,9
2016/06/25,13
2016/06/24,9
2016/06/23,3
2016/06/22,11
2016/06/21,4
2016/06/20,3
2016/06/19,4
2016/06/18,25
2016/06/17,7
2016/06/16,9
2016/06/15,7
2016/06/14,14
2016/06/13,10
2016/06/12,11
2016/06/11,4
2016/06/10,15
2016/06/09,19
2016/06/08,26
2016/06/07,17
2016/06/06,15
2016/06/05,10
2016/06/04,17
2016/06/03,15
2016/06/02,22
2016/06/01,23
2016/05/31,1
2016/05/30,19
2016/05/29,15
2016/05/28,2
2016/05/27,27
2016/05/26,23
2016/05/25,15
2016/05/24,24
2016/05/23,9
2016/05/22,9
2016/05/21,21
2016/05/20,16
2016/05/19,10
2016/05/18,7
2016/05/17,6
2016/05/16,2
2016/05/15,7
2016/05/14,15
2016/05/13,5
2016/05/12,4
2016/05/11,13
2016/05/10,11
2016/05/09,10
2016/05/08,13
2016/05/07,7
2016/05/06,8
2016/05/05,4
2016/05/04,14
2016/05/03,13
2016/05/02,14
2016/05/01,8
2016/04/30,7
2016/04/29,11
2016/04/28,9
2016/04/27,20
2016/04/26,10
2016/04/25,27
2016/04/24,9
2016/04/23,9
2016/04/22,7
2016/04/21,23
2016/04/20,12
2016/04/19,4
2016/04/18,10
2016/04/17,6
2016/04/16,8
2016/04/15,7
2016/04/14,15
2016/04/13,10
2016/04/12,6
2016/04/11,15
2016/04/10,7
2016/04/09,16
2016/04/08,14
2016/04/07,19
2016/04/06,10
2016/04/05,15
2016/04/04,16
2016/04/03,23
2016/04/02,10
2016/04/01,17
2016/03/31,16
2016/03/30,10
2016/03/29,16
2016/03/28,14
2016/03/27,16
2016/03/26,5
2016/03/25,6
2016/03/24,10
2016/03/23,11
2016/03/22,7
2016/03/21,7
2016/03/20,16
2016/03/19,12
2016/03/18,10
2016/03/17,4
2016/03/16,5
2016/03/15,12
2016/03/14,3
2016/03/13,10
2016/03/12,8
2016/03/11,10
2016/03/10,7
2016/03/09,9
2016/03/08,9
2016/03/07,8
2016/03/06,9
2016/03/05,13
2016/03/04,6
2016/03/03,6
2016/03/02,15
2016/03/01,14
2016/02/29,10
2016/02/28,9
2016/02/27,3
2016/02/26,4
2016/02/25,10
2016/02/24,11
2016/02/23,21
2016/02/22,17
2016/02/21,10
2016/02/20,5
2016/02/19,14
2016/02/17,15
2016/02/16,7
2016/02/15,8
2016/02/14,11
2016/02/13,9
2016/02/11,9
2016/02/10,9
2016/02/09,12
2016/02/08,27
2016/02/07,14
2016/02/06,14
2016/02/05,9
2016/02/04,12
2016/02/03,8
2016/02/02,8
2016/02/01,6
2016/01/31,5
2016/01/30,5
2016/01/29,3
2016/01/28,11
2016/01/27,8
2016/01/24,15
2016/01/23,5
2016/01/22,9
2016/01/21,9
2016/01/20,8
2016/01/19,7
2016/01/18,6
2016/01/17,20
2016/01/16,12
2016/01/15,3
2016/01/14,11
2016/01/13,19
2016/01/12,1
2016/01/11,15
2016/01/10,11
2016/01/09,10
2016/01/08,8
2016/01/06,12
2016/01/05,15
2016/01/04,12
2016/01/03,14
2016/01/02,13
2016/01/01,18
2015/12/31,8
2015/12/30,5
2015/12/29,6
2015/12/28,5
2015/12/27,7
2015/12/25,12
2015/12/24,11
2015/12/23,14
2015/12/22,12
2015/12/21,11
2015/12/20,5
2015/12/19,6
2015/12/18,15
2015/12/17,7
2015/12/16,17
2015/12/15,24
2015/12/14,10
2015/12/12,14
2015/12/11,6
2015/12/10,7
2015/12/09,5
2015/12/08,12
2015/12/07,11
2015/12/06,9
2015/12/05,8
2015/12/04,8
2015/12/03,4
2015/12/02,5
2015/12/01,4
2015/11/29,13
2015/11/28,2
2015/11/26,1
2015/11/25,11
2015/11/24,3
2015/11/23,11
2015/11/22,13
2015/11/21,5
2015/11/20,6
2015/11/19,10
2015/11/18,9
2015/11/17,14
2015/11/16,10
2015/11/15,13
2015/11/14,4
2015/11/13,13
2015/11/12,13
2015/11/11,12
2015/11/10,14
2015/11/09,18
2015/11/08,15
2015/11/07,23
2015/11/06,4
2015/11/05,9
2015/11/03,13
2015/11/02,8
2015/11/01,19
2015/10/31,9
2015/10/30,12
2015/10/29,22
2015/10/28,21
2015/10/27,12
2015/10/26,15
2015/10/25,22
2015/10/24,13
2015/10/23,14
2015/10/22,11
2015/10/21,17
2015/10/20,14
2015/10/19,24
2015/10/18,18
2015/10/17,8
2015/10/16,5
2015/10/15,16
2015/10/14,21
2015/10/13,13
2015/10/10,1
2015/10/09,17
2015/10/08,12
2015/10/07,10
2015/10/06,16
2015/10/05,9
2015/10/04,24
2015/10/03,19
2015/10/02,11
2015/10/01,15
2015/09/30,19
2015/09/29,20
2015/09/28,46
2015/09/27,8
2015/09/26,7
2015/09/25,7
2015/09/24,11
2015/09/23,13
2015/09/22,4
2015/09/20,5
2015/09/19,16
2015/09/18,13
2015/09/17,12
2015/09/16,6
2015/09/15,32
2015/09/14,26
2015/09/13,18
2015/09/12,11
2015/09/11,3
2015/09/10,12
2015/09/09,19
2015/09/08,6
2015/09/07,13
2015/09/06,17
2015/09/05,7
2015/09/04,6
2015/09/03,16
2015/09/02,26
2015/09/01,24
2015/08/31,26
2015/08/30,7
2015/08/29,4
2015/08/28,11
2015/08/27,11
2015/08/26,12
2015/08/25,16
2015/08/24,13
2015/08/23,11
2015/08/22,21
2015/08/21,1
2015/08/20,9
2015/08/19,25
2015/08/18,26
2015/08/17,24
2015/08/16,16
2015/08/15,18
2015/08/14,34
2015/08/13,37
2015/08/12,15
2015/08/11,25
2015/08/10,25
2015/08/09,15
2015/08/08,16
2015/08/07,10
2015/08/06,16
2015/08/05,6
2015/08/04,3
2015/08/03,14
2015/08/02,9
2015/08/01,5
2015/07/31,11
2015/07/30,3
2015/07/29,5
2015/07/28,16
2015/07/27,16
