_1,_2
#EMABiggestFans1D,50788
#EMABiggestFansJustinBieber,45971
#camilasayshi,9870
#StealMyGirl,6091
#bigpaynodanceoff,3989
#AssistamODR,2512
#Vote5HEMA,1795
#BuyLoveMeHarderOniTunes,1330
#askjadelittlemix,1219
#UnlockMockingjay,1194
#QueroMuitosSeguidoresComValentino,1007
#camilasayhi,899
#WelcomeToBrazil30STM,790
#MasterChefBR,737
#EМABiggestFansJustinBieber,661
#NewE3Cover,615
#EMABiggestFans5SOS,584
#E3GetsJealous,567
#trndnl,527
#STEALMYGIRL,489
#EuAcredito,416
#AUSTINMAHONE,411
#StealMyGirI,399
#VoteVampsVevo,398
#MPN,394
#AguacateTraeDeNuevoAMaluma,390
#AUSTINMAHONECHILE,377
#PediuTocouRD,368
#SignsOnItunes,363
#SungminSTAY,349
#Rebelde2x083,328
#AustinMahoneChile,324
#EMABiggestFansHarryPotter,323
#KCAArgentina,309
#JaidefinichonLIVE,307
#BRA,306
#QueremosPolloTv,296
#QueroNoTVZ,293
#TeamDuca,285
#stealmygirl,279
#AustinMahone,279
#MixFmBrasil,277
#AMAs,273
#AFazenda,265
#Mockingjay,256
#VaiCorinthians,255
#Beliebers,252
#EMABiggestFansArianaGrande,250
#MeGustaMasQueLaCresta,247
#EMABiggestFansNickiMinaj,244
#PaulaFernandesnoRatinho,222
#ElasFicamLoucas,216
#FrasesProfessores,214
#RaelNoMixDiario,204
#GetWellSoonAshton,196
#CamilaSaysHi,184
#MiercolesDeGanarSeguidores,178
#premiomultishow,178
#QueremosLaCopaCABJ,178
#SudamericanRockers,178
#love,169
#EstamosInvitados,163
#SudamericanaxFOX,161
#VaiQueColaEp33,157
#SomethingBigIsHappening,154
#PuebloPoderEnRevolucion,153
#JustinBieberInFortaleza,151
#SIGUEMEYTESIGO,150
#askdirectioner,149
#EMABiggest1DFans,146
#AlwaysInOurHeartCL,145
#HottieOfTheWeek,145
#AecioPelaMudanca,145
#VevoLIFT,143
#RT,143
#1,142
#Lucianoajudaomatias,141
#VemSdvComTiuMarkito,138
#VampsVEVOVote,138
#Malhação,135
#MeCansaQue,129
#QuartaDoSdvComTiuMarkito,129
#MahomiesGoHardest,128
#CosasQueQuieroYaPeroYa,125
#TemDias,123
#JulianSerrano,122
#ActitudCreamfields,120
#CreamfieldsCL,120
#TwOff,116
#TruthIsComing,115
#PreorderRenegade,114
#OurPrinceChrisLeao,113
#MTVHits,112
#Echelon,112
#PlanNavidadFeliz,111
#GOSTEI,111
#AllTheGirls,109
#PitucaSinLucas,108
#VejaSoltaNaNoiteNoYoutube,108
#OVERDOSEparty,102
#PazConJusticia,101
#boanoite,99
#askmagcult,99
#ArtistaDeLaSemanaTopTiin,99
#EMABiggestFansP9,99
#WelcomeToBrazilMARS,98
#jaidefinichonlive,98
#selfie,97
#21YearsDangerousTourBrazil,94
#ImaginaSeEu,94
#Flamengo,94
#EMABieggestFans1D,94
#happy,93
#Galo,92
#EmBreveSexyClaraAguilar,91
#SeNosVaEl2014Y,91
#G1,90
#TodoBienHastaQue,88
#EMAABiggestFans1D,88
#DadyDirection,87
#Boca,87
#NuestroJovenMartir,86
#friends,86
#vscocam,86
#me,86
#EМABiggestFans1D,86
#BRAZIL,86
#BoaNoite,86
#AvanteMeuTricolor,85
#np,85
#Camilasayshi,85
#InstaSize,84
#JorgeBlanco,84
#calor,83
#WeasQueMeMolestanMucho,83
#LinkinParkWelcomeToBrazil,83
#KarinaEnSusana,82
#Endomondo,82
#eitagiovanna,82
#VampsVoteVevo,81
#endorphins,81
#Venezuela,80
#FicaMarlos,80
#FechadoComOCruzeiro,79
#nowplaying,79
#SupportTheVamps,79
#EMABiggestFansJustinB,78
#bateboladesabafa,77
#Chile,76
#diadoprofessor,76
#ForaMano,75
#Santiago,75
#SergioAlRojo,75
#EmaBiggestFans1D,74
#AFeiaMaisBela136,74
#15DiasMeninaNoiTunes,74
#TopPop,74
#masterchefbr,71
#EmaBiggestFansJustinBieber,69
#PMMB2014,69
#ChayanneEnTodoEstare,68
#Repost,67
#RobotechETC,67
#SPFC,66
#GusttavoLimaNoProgramaDoJô,66
#WallaceWins,65
#VaiQueCola,65
#aobatebolacomcarinho,65
#성민와함께HappyTogether,64
#Luan,64
#Brasil,64
#AskJessieJ,64
#MeLaSubeMuchoQue,64
#Corinthians,63
#VamosFlamengo,63
#Capiata,62
#DMmeCollinsKey,62
#EMABigguestFans1D,62
#EMABiggestFansjustinbieberᅠ,61
#VoltaDuanca,61
#foramano,61
#photo,61
#MelhorcomDilma13,61
#BrazilNeedsSS6,60
#EMABiggetsFans1D,60
#LuaBlancoNoAgoraETarde,60
#GALO,59
#SãoPaulo,59
#partiu,59
#EMABieggestFansJustinBieber,59
#Top3Apps,59
#NowPlaying,59
#ElJugadorDelPartido,58
#staystrongchubbs,58
#BoaTarde,58
#CopaDoBrasilNoFOXSports,58
#VamosBoca,58
#beach,58
#Rio,56
#boatarde,56
#BrasilMissYou5H,56
#askharmonizer,55
#Dilma13,55
#ask5sosfam,55
#selfieconmaluma,55
#vote5hema,54
#TheXFactorNoSony,54
#ForaDilma,53
#flamengo,53
#followme,52
#followmeplease,52
#jogoaberto,52
#RtEmaJb,52
#Annabelle,51
#amor,49
#EMABestPopMileyCyrus,49
#nofilter,49
#EMABigesstFansJustinBieber,49
#EMABiggestFans1Dᅠ,47
#brasil,47
#EMABiggesFans1D,47
#LuisMiguelEnChile,46
#ToAgoranoTopMix,46
#LRT,46
#amo,46
#gym,45
#ForaPT,44
#sun,44
#lovemeharder,44
#SorrisoNoEncontro,44
#DiaDoProfessor,44
#EMABIGGESTFANS1D,44
#Directioners,44
#Guapas,44
#foco,44
#LuisMiguelEnMovistarArena,44
#work,43
#EMABiggetsFansJustinBieber,43
#Selfie,43
#Imperio,42
#camilasayshy,42
#STEALMYGIRLISONREPEAT,42
#CONCEPTFOLLOWSPREE,41
#Love,41
#EmaBeggistFans1D,41
