_1,_2
#EMABiggestFansJustinBieber,29312
#EMABiggestFans1D,28725
#QueroNoTVZ,2336
#LinkinParkNoMultishow,1531
#demiyourstorydoesntdefineyou,1226
#WeWantZaynsSongsInFOUR,868
#trndnl,858
#MaratonaTwilight,755
#SigaTiuMarkitoNesseSabadoSdv,662
#KCAArgentina,587
#premiomultishow,447
#TOPTVZ,447
#EMABiggestFans5SOS,443
#AMAs,425
#love,390
#MTVHomecoming,387
#MCGuimeNoRaulGil,374
#HarryRefollowLuana,367
#SintoSaudadeDe,332
#EMABiggestFansJusinBieber,320
#BaileNoTt,315
#MTVhomecoming,314
#JulianSerrano,309
#DemiWorldTourInSouthAmerica,295
#PanicAtTheDiscoNoMultishow,292
#VemGabyAltoAstral,272
#A7XNoRockInRio2015,262
#TopPop,260
#MiMamaEs,258
#friends,256
#AustinMahone,251
#MeSintoTãoBemNoTVZ,247
#AustinMahoneChile,246
#Vote5HEMA,244
#SomethingBigIsHappening,235
#12anosderoubalheiradoptchega,234
#MeReJodeQue,230
#McBielNoSabadoTotal,224
#EMABieggestFans1D,223
#InstaSize,212
#McGuimeNoRaulGil,212
#PanicoAjudaAsBeliebers,211
#AFazenda,205
#HappyBdayTylerPoseyFromBrazil,204
#EMABiggestFansArianaGrande,200
#selfie,200
#MaduroPromueveLaPaz,189
#TwOff,181
#partiu,174
#HalaMadrid,172
#PediuTocouRD,169
#EМABiggestFansJustinBieber,169
#HarryFollowTamestyles,167
#amigos,161
#MenosOdioMaisDilma,158
#IsraelNovaesNoLegendarios,158
#happy,156
#DontChangeTMIcast,153
#McGuimeNoProgramaRaulGil,149
#DoQueOBrasilPrecisa,148
#BrazilNeedsSS6,146
#np,145
#PremiosNotirey,145
#RestaCienMilPuntos,142
#HojeShowOnePlayEmCuritiba,142
#beach,141
#me,135
#ComeToBrazilMattEspinosa,131
#saturday,131
#RT,130
#EMABiggesFans1D,130
#PazPorLosSueñosDeRobert,129
#askmagcult,129
#bomdia,128
#deontem,128
#BomDia,124
#calor,122
#TransplanteACamilaEnElMDAnderson,122
#MinhaMaeSempreMeDizia,122
#Nahara4UGirlBrazil,122
#NuncaFaltaElHueonQue,120
#SabadoTodosSDVcomValentino,120
#vscocam,120
#askdirectioner,120
#NOCHEINTIMAVEGETIL,119
#31minutos,118
#DemiYouAreMoreThanYouThink,116
#askjacob,116
#boanoite,115
#photo,115
#praia,114
#LoDijoPityAlvarez,114
#hijacob,114
#SabadoDeGanarSeguidores,113
#Repost,113
#hablemosdesindromededown,113
#EМABiggestFans1D,110
#amo,110
#party,108
#amor,106
#night,106
#sabado,106
#QuandoEuCasar,104
#sun,100
#Lali,98
#NoEntiendo,98
#RuPyNatal,98
#VamosLaU,97
#trollamosarecord,96
#SantosQuerFlyDeVolta,95
#QuieroVerAValeria,95
#CircuitoBancoDoBrasil,94
#HappyBirthdayZacEfron,93
#nofilter,93
#LosCruzados,92
#SumaCienMilPuntos,92
#Partiu,92
#EnOieMeGustaAllTheGirls,92
#LaLigaxESPN,91
#BoaNoite,90
#Dilma13,89
#Endomondo,89
#top,89
#MixFmBrasil,89
#Selfie,89
#CircuitoBB,89
#endorphins,89
#1,87
#MaratonETC,85
#sábado,85
#PingPongdesdeElAvion,84
#31Minutos,82
#sqn,82
#NiqoDominiEnLaCocina,82
#Brasil,81
#Ahora,81
#AMF2014,80
#familia,79
#sol,79
#family,78
#SIGUEMEYTESIGO,77
#brazil,77
#sp,77
#LastDayToVoteVamps,76
#brasil,76
#cometobrazilmattespinosa,75
#bateboladorock,74
#Beliebers,73
#Love,73
#PhotoGrid,73
#Santiago,72
#Friends,71
#Aecio45,71
#TROPA,71
#instagood,71
#sunset,71
#casamento,70
#MPN,69
#ModestActualizaNoReplay,69
#Rio,69
#errejota,69
#boatarde,69
#TudoPorVoceMcDuduzinho,68
#PingPongDesdeElAvion,68
#chilehacelio,67
