_1,_2
Aécio,13125
Dilma,3957
não,2688
,2526
vai,1168
"Aécio,",1149
O,956
ele,879
Aécio.,852
só,840
os,817
cara,797
foi,701
Neves,676
as,649
#DebateNoSBT,643
fala,606
falar,572
Brasil,563
debate,559
ta,556
como,554
está,541
ou,536
votar,534
Não,528
esse,515
Minas,506
ao,500
ser,490
já,482
me,473
quem,472
PT,451
muito,444
-,443
dos,443
tá,440
essa,433
E,424
falando,424
governo,421
ela,418
diz,418
Se,404
#QueroDilmaTreze,404
pro,404
"Dilma,",391
nem,366
meu,358
isso,353
quer,346
Eu,345
#DebateNaRecord,342
É,340
45,339
vota,337
agora,316
seu,312
Aécio?,307
#Aécio45,307
Aécio!,300
bem,293
pq,292
ver,290
fazer,284
melhor,275
Dilma.,275
ter,271
pelo,269
voto,268
#AgoraÉAécioBrasil45,268
são,265
sabe,258
propaganda,257
vou,253
presidente,251
#debatenarecord,251
quando,250
#AgoraBrasilAécio45,249
fez,247
Marina,245
#AgoraÉAécioBrasil,244
",",243
ganhar,242
mal,240
das,238
Só,236
RT,233
faz,233
Aécio:,231
Esse,229
sua,229
você,226
campanha,226
pela,224
pode,222
!,221
gente,220
mesmo,219
minha,216
n,214
tudo,211
vc,210
Mas,204
porque,204
povo,202
Que,200
candidato,199
tão,199
ainda,196
aqui,196
apoio,192
@AecioNeves,191
dele,189
vamos,188
@,187
mulher,181
PSDB,180
bom,180
dar,177
Agora,176
todo,174
sei,172
dizer,170
nada,169
era,167
à,164
p,160
sou,159
pergunta,159
@dilmabr,156
tanto,156
sempre,155
coisa,154
?,150
MG,150
desse,150
deu,149
Quem,148
estão,146
.,145
vão,144
vez,144
Lula,142
#VouComDilma13,141
anos,140
tenho,140
Vamos,140
todos,139
quero,136
menos,135
nunca,134
pau,133
Gerais,133
acho,132
dá,131
Debate,130
sendo,129
parece,128
disse,127
fica,126
d,125
"\"Aécio",124
via,123
dia,123
será,120
falou,120
mudar,117
lá,117
vcs,117
4,116
pessoas,116
segundo,115
fosse,115
aeroporto,115
responde,113
No,113
assim,113
também,113
x,113
hoje,112
#MudaBrasil,112
Essa,112
13,112
dando,112
família,112
mundo,112
eleitores,111
Brasil.,111
esta,110
nao,110
programa,110
vem,109
aí,109
Vai,109
acha,108
SBT,108
dela,108
Como,107
Por,107
fazendo,107
#Aecio45,104
#AecioPelaMudanca,104
turno,103
Já,103
#DebateDoSBT,102
Acho,102
favor,101
dilma,101
Aécio...,101
dois,101
Os,100
ficar,100
#AécioNever,100
vocês,99
nesse,99
|,99
for,98
1,98
Ele,98
ai,97
tempo,97
política,97
#Aécio,96
#AecioEmTodoBrasil,96
te,95
bolsa,95
país,95
cu,95
#MelhorcomDilma13,95
verdade,94
merda,94
propostas,92
educação,92
#Dilma13,91
precisa,91
#ForaDilma,90
depois,90
seus,89
conhece,89
frente,88
Meu,88
to,88
Na,88
saúde,88
votos,88
mudança,87
Never,87
cada,86
Até,86
deve,86
novo,85
primeiro,85
né,85
debate.,85
aguento,84
grande,83
Aé,83
Em,83
saber,83
passa,83
Ela,83
Mais,82
kkkkk,82
São,82
aprovado,82
antes,80
falta,80
apoiando,80
...,79
dizendo,79
medo,79
estar,79
onde,79
senhora,78
vivo,78
mostra,77
ñ,77
pior,77
passou,77
"debate,",76
sim,76
hora,76
😂,76
aos,75
"Neves,",75
pouco,75
Para,74
toda,74
acabar,74
kkkk,74
Isso,74
Vou,74
Sou,73
FHC,73
"\"\"",73
minas,72
tirar,72
lado,72
Rio,72
tu,72
suas,71
corrupção,71
dessa,71
Dilma?,71
Dilma!,70
seja,70
Dilma:,70
irmã,70
10,70
meio,70
eh,69
ficou,69
eles,69
gosto,69
nessa,69
Entre,69
dinheiro,69
pesquisa,69
porra,69
eleição,69
partido,69
querendo,68
#ForaPT,68
Tem,68
To,68
queria,68
casa,68
vendo,68
nível,68
"Brasil,",68
#EmTodoBrasilAécio45,68
tinha,67
TV,67
olha,67
Quando,67
nele,67
enquanto,67
quanto,67
perdeu,67
eleitoral,66
alguém,66
vi,66
nosso,66
demais,66
Ta,66
deveria,66
drogas,66
Gente,66
durante,65
site,65
mim,65
Olha,65
As,65
quase,65
tipo,65
viu,65
senhor,65
maior,64
jeito,64
parte,64
2,64
mesma,64
Pq,64
vejo,64
teve,64
debates,64
votam,64
pontos,63
boa,63
Deus,63
#trndnl,63
ganha,63
esses,63
#EmTodoBrasilAecio45,63
:,63
olhar,63
PT.,62
ganhou,62
lei,62
Hoje,62
Neves.,62
pobre,62
Pra,62
ruim,62
propagandas,61
todas,61
#AécioEmTodoBrasil,61
pó,61
boca,60
caso,60
nojo,60
deixar,60
kkk,60
essas,60
coisas,60
nocauteada,60
Lei,59
professores,59
sambando,59
passado,59
mostrar,59
tava,59
programas,59
fora,59
estava,59
pessoa,59
prefiro,59
estou,58
vida,58
Será,58
Minha,58
Um,58
poder,58
gosta,58
mente,57
aé,57
ponto,57
esposa,57
vezes,57
irmão,56
ja,56
pois,56
Quero,56
#AConversa,56
responder,56
num,56
c,56
=,56
apenas,56
"\"\"\"Aécio",55
Você,55
então,55
0,55
rir,55
governador,55
seria,55
De,54
causa,54
ir,54
qual,54
pai,54
acabou,54
TSE,54
apoia,53
NÃO,53
resposta,53
final,53
perder,53
http://t.co/ahfldjYoP6,53
Tá,53
mentira,53
chega,53
Com,52
"Minas,",52
pressão,52
discurso,52
candidata,52
cheira,52
Nem,52
futuro,52
ouvir,52
governar,51
sorriso,51
outro,51
alguma,51
mentiras,51
acabando,51
Datafolha,51
sai,51
so,50
Petrobras,50
Presidente,50
Alguém,50
meus,50
bate,50
estado,50
eleito,50
manda,50
ataca,50
mãe,50
falam,49
👏,49
vergonha,49
!!,49
Voto,49
usa,49
consigo,49
vote,49
nossa,49
kkkkkkk,49
#45,49
inflação,49
"Gente,",48
há,48
apoiar,48
Brasil!,48
vontade,48
Me,48
49%,48
começa,48
DE,48
homem,48
começou,48
fim,48
às,47
pessoal,47
criticar,47
!!!,47
tomar,47
cima,47
outra,47
Bolsa,47
música,46
passar,46
+,46
votando,46
mulheres,46
perguntas,46
proposta,46
mt,46
pros,46
"Gerais,",46
//,46
continuar,46
nenhum,46
tanta,46
ontem,46
http://t.co/mpFcx6LjVS,45
..,45
#EMABiggestFansJustinBieber,45
22,45
Foi,45
outros,45
ia,45
ataques,45
debochado,45
né?,45
querem,44
consegue,44
merece,44
galera,44
eleitor,44
deixa,44
história,44
foram,44
10.,44
amor,44
51%,44
saiu,44
12,44
aquele,44
tô,44
Globo,44
tucano,44
dele.,43
igual,43
deboche,43
eleger,43
certeza,43
9.,43
assunto,43
7.,43
nome,43
mão,43
pedir,43
5,43
usar,43
logo,43
blá,43
ninguém,43
8.,43
sabem,43
platéia,43
6.,43
chamar,43
45.,42
Rousseff,42
#MelhorComDilma13,42
mil,42
conta,42
Aí,42
vê,42
volta,42
Minas.,42
p/,42
Aecio,42
#debatedosbt,42
pt,42
Ai,42
nós,41
engraçado,41
muita,41
kk,41
"ganhar,",41
água,41
estamos,41
Ou,41
nenhuma,41
puta,41
#Dilma,41
colocar,41
@marisascruz,41
sair,41
algo,41
moral,41
preparado,40
"PT,",40
Candidato,40
"#DebateNoSBT\"",40
Uma,40
rindo,40
feito,40
Sem,40
pesquisas,40
fato,40
#Eleições2014,40
N,40
Irmã,40
motivo,40
criou,40
Levy,40
tbm,39
tenta,39
defende,39
"\"\"Aécio",39
Vocês,39
mineiros,39
Chico,39
bater,39
#MenosOdioMaisDilma,39
tio,39
adesivo,38
ganhando,38
"Dilma\"\"",38
Aécio!!!,38
querer,38
carro,38
BRT,38
Governo,38
culpa,38
fuder,38
hj,38
mandou,38
chama,38
qualquer,38
irônico,38
brasileiros,38
vitória,38
Então,37
votou,37
Cadê,37
Paulo,37
realmente,37
palmas,37
😂😂😂,37
horário,37
presidente.,37
#Dilma13PraVencer,37
pqp,37
forma,37
leva,37
"bem,",37
achando,37
"isso,",37
atacar,37
kkkkkk,37
Silva,37
Estado,37
milhões,36
escola,36
cínico,36
Pelo,36
#DebateDaRecord,36
Bom,36
entendo,36
voltar,36
levar,36
chamou,36
mineiro,36
Q,36
parar,36
acaba,36
92%,35
rádios,35
sujo,35
perde,35
Tenho,35
Depois,35
Maria,35
TCE,35
foto,35
Sobre,35
amigo,35
respeito,35
Queria,35
levou,35
😂😂,35
😀,35
mandar,35
olho,35
momento,35
aparece,35
ódio,35
presidência,35
"não,",34
Fidelix,34
pensa,34
surra,34
jovem,34
Vcs,34
